year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance
2013,2,26,6:07:00 PM,1630,97,7:56:00 PM,1837,79,EV,4411,N13566,EWR,MEM,144,946
2013,8,17,2:59:00 PM,1445,14,6:01:00 PM,1747,14,B6,1171,N661JB,LGA,FLL,147,1076
2013,2,13,6:12:00 PM,1815,-3,8:55:00 PM,2125,-30,AS,7,N403AS,EWR,SEA,315,2402
2013,4,11,9:22:00 PM,2115,7,11:39:00 PM,2353,-14,B6,97,N656JB,JFK,DEN,221,1626
2013,8,5,6:32:00 PM,1835,-3,9:45:00 PM,2155,-10,AA,269,N3EYAA,JFK,SEA,358,2422
2013,6,30,3:00:00 PM,1505,-5,5:51:00 PM,1650,61,UA,685,N424UA,LGA,ORD,116,733
2013,2,14,2:42:00 PM,1445,-3,6:33:00 PM,1747,46,UA,346,N446UA,EWR,MIA,200,1085
2013,7,25,7:52:00 AM,755,-3,10:37:00 AM,1057,-20,DL,2395,N909DL,LGA,PBI,140,1035
2013,7,10,5:57:00 AM,600,-3,7:25:00 AM,715,10,MQ,3267,N542MQ,EWR,ORD,113,719
2013,12,13,7:07:00 PM,1915,-8,9:55:00 PM,2219,-24,DL,2159,N909DE,JFK,MCO,138,944
2013,1,28,2:55:00 PM,1500,-5,4:47:00 PM,1655,-8,MQ,4429,N734MQ,LGA,CMH,83,479
2013,9,6,9:03:00 AM,912,-9,10:51:00 AM,1115,-24,EV,4348,N12163,EWR,MSP,138,1008
2013,4,8,6:25:00 AM,600,-7,8:24:00 AM,724,-27,EV,5689,N825AS,LGA,IAD,48,229
2013,5,12,8:23:00 AM,630,-5,10:06:00 AM,832,-8,US,1433,N188US,LGA,CLT,98,544
2013,9,14,6:49:00 AM,829,-6,9:38:00 AM,1017,-11,DL,1157,N324US,EWR,MSP,139,1008
2013,5,11,10:11:00 PM,700,-11,4:08:00 AM,1006,-28,DL,2003,N317US,LGA,MIA,153,1096
2013,7,29,6:57:00 AM,2155,16,8:06:00 AM,43,5,B6,425,N656JB,JFK,TPA,129,1005
2013,1,2,6:39:00 AM,700,-3,10:41:00 AM,809,-3,US,2163,N945UW,LGA,DCA,46,214
2013,7,27,1:28:00 PM,640,-1,3:49:00 PM,1040,1,AA,413,N3FYAA,JFK,SJU,207,1598
2013,2,9,6:59:00 PM,1330,-2,8:30:00 PM,1603,-14,DL,2043,N3761R,JFK,ATL,108,760
2013,5,2,4:21:00 PM,1900,-1,5:43:00 PM,2048,-18,EV,5038,N719EV,LGA,BHM,119,866
2013,9,17,7:34:00 AM,1627,-6,10:51:00 AM,1754,-11,EV,6101,N14905,LGA,IAD,47,229
2013,2,23,10:53:00 AM,740,-6,12:09:00 PM,1044,7,B6,341,N632JB,JFK,SRQ,167,1041
2013,1,13,12:03:00 PM,1100,-7,3:15:00 PM,1215,-6,MQ,3792,N510MQ,JFK,DCA,57,213
2013,4,5,8:06:00 AM,1144,19,10:14:00 AM,1444,31,UA,684,N407UA,EWR,TPA,160,997
2013,6,16,6:25:00 AM,804,2,8:15:00 AM,1013,1,EV,4304,N11150,EWR,MSY,161,1167
2013,9,5,9:34:00 PM,630,-5,11:26:00 PM,840,-25,US,2085,N563UW,LGA,CLT,84,544
2013,1,30,8:36:00 PM,1815,199,11:59:00 PM,2037,169,9E,3424,N909XJ,JFK,DTW,85,509
2013,11,20,7:15:00 AM,2040,-4,9:46:00 AM,2359,0,B6,523,N796JB,JFK,LAX,346,2475
